nation	o_year	sum_profit
ALGERIA	1998	27364918537.431698
ALGERIA	1997	46540337202.474945
ALGERIA	1996	46607966730.05971
ALGERIA	1995	46587657748.43642
ALGERIA	1994	46636127467.45923
ALGERIA	1993	46605744722.15935
ALGERIA	1992	46704104396.13266
ARGENTINA	1998	27248288078.06667
ARGENTINA	1997	46330173207.09559
ARGENTINA	1996	46524729535.84704
ARGENTINA	1995	46419391239.85864
ARGENTINA	1994	46324881303.37875
ARGENTINA	1993	46382957813.95189
ARGENTINA	1992	46520570588.71238
BRAZIL	1998	27318403655.995808
BRAZIL	1997	46699169500.54364
BRAZIL	1996	46782003730.23558
BRAZIL	1995	46725621897.61801
BRAZIL	1994	46659523588.299904
BRAZIL	1993	46607300224.37781
BRAZIL	1992	46830844301.79655
CANADA	1998	27395067164.10413
CANADA	1997	46746501630.1795
CANADA	1996	46903730678.568
CANADA	1995	46734104459.05876
CANADA	1994	46728305660.672455
CANADA	1993	46693751203.04155
CANADA	1992	46870054364.508286
CHINA	1998	27281343171.886547
CHINA	1997	46645717678.9978
CHINA	1996	46714325932.2769
CHINA	1995	46568973333.44538
CHINA	1994	46544213517.12025
CHINA	1993	46591430143.16945
CHINA	1992	46729327704.67537
EGYPT	1998	27313350182.66422
EGYPT	1997	46659974631.3735
EGYPT	1996	46780446155.44936
EGYPT	1995	46644135006.97621
EGYPT	1994	46625310784.936005
EGYPT	1993	46674536509.52638
EGYPT	1992	46779717895.14565
ETHIOPIA	1998	27369072710.539974
ETHIOPIA	1997	46582310024.529205
ETHIOPIA	1996	46734487616.518715
ETHIOPIA	1995	46687739571.653366
ETHIOPIA	1994	46729134734.07134
ETHIOPIA	1993	46658206640.06953
ETHIOPIA	1992	46832302178.0198
FRANCE	1998	27265299195.18863
FRANCE	1997	46540714936.96197
FRANCE	1996	46704590909.05974
FRANCE	1995	46479948293.36809
FRANCE	1994	46578153083.07768
FRANCE	1993	46561781293.440094
FRANCE	1992	46615126208.07835
GERMANY	1998	27287914437.763615
GERMANY	1997	46467305831.02142
GERMANY	1996	46670921046.41613
GERMANY	1995	46452546330.07987
GERMANY	1994	46466402245.74221
GERMANY	1993	46470731368.29884
GERMANY	1992	46591585957.05238
INDIA	1998	27308092904.967335
INDIA	1997	46593129427.93766
INDIA	1996	46684432718.3245
INDIA	1995	46542895649.49025
INDIA	1994	46481826697.71167
INDIA	1993	46529426506.070496
INDIA	1992	46669048616.71388
INDONESIA	1998	27406524795.82367
INDONESIA	1997	46695720581.87745
INDONESIA	1996	46794768785.29791
INDONESIA	1995	46639678405.03051
INDONESIA	1994	46708679444.367615
INDONESIA	1993	46638049508.33478
INDONESIA	1992	46820704284.240036
IRAN	1998	27290877610.36698
IRAN	1997	46399980252.46265
IRAN	1996	46565652248.83036
IRAN	1995	46451020249.65173
IRAN	1994	46571241667.31812
IRAN	1993	46487735114.902725
IRAN	1992	46586216459.61961
IRAQ	1998	27265956716.867317
IRAQ	1997	46559714843.04895
IRAQ	1996	46553540264.78321
IRAQ	1995	46415462135.59068
IRAQ	1994	46451204774.01538
IRAQ	1993	46480655695.76395
IRAQ	1992	46649223471.234406
JAPAN	1998	27346346820.081284
JAPAN	1997	46521215471.348854
JAPAN	1996	46667978548.026794
JAPAN	1995	46573580894.49416
JAPAN	1994	46581830900.95462
JAPAN	1993	46537597865.36038
JAPAN	1992	46669624134.54829
JORDAN	1998	27204559872.364296
JORDAN	1997	46482207483.90125
JORDAN	1996	46605619420.28987
JORDAN	1995	46535152738.81204
JORDAN	1994	46518196783.797516
JORDAN	1993	46428770711.52027
JORDAN	1992	46633058808.71521
KENYA	1998	27295556542.387062
KENYA	1997	46495459618.130844
KENYA	1996	46586083508.23497
KENYA	1995	46487906614.37727
KENYA	1994	46442044501.061676
KENYA	1993	46426245812.12517
KENYA	1992	46608537906.696396
MOROCCO	1998	27295928472.754906
MOROCCO	1997	46511860672.38022
MOROCCO	1996	46599614103.76698
MOROCCO	1995	46500259021.21152
MOROCCO	1994	46479117393.020294
MOROCCO	1993	46560464575.08323
MOROCCO	1992	46708065026.26471
MOZAMBIQUE	1998	27314854177.187588
MOZAMBIQUE	1997	46618298907.11387
MOZAMBIQUE	1996	46793857080.56274
MOZAMBIQUE	1995	46610901785.61947
MOZAMBIQUE	1994	46636598881.19368
MOZAMBIQUE	1993	46551838594.20351
MOZAMBIQUE	1992	46754307440.11472
PERU	1998	27377204662.86968
PERU	1997	46626096990.719475
PERU	1996	46763316079.83828
PERU	1995	46736161651.0367
PERU	1994	46726529762.258575
PERU	1993	46685898955.09033
PERU	1992	46753099756.91757
ROMANIA	1998	27275729772.148216
ROMANIA	1997	46625431759.80702
ROMANIA	1996	46819031117.520805
ROMANIA	1995	46587632442.93965
ROMANIA	1994	46693228482.88167
ROMANIA	1993	46647052882.95495
ROMANIA	1992	46830623226.6892
RUSSIA	1998	27262223462.292717
RUSSIA	1997	46459055987.47386
RUSSIA	1996	46568067633.54344
RUSSIA	1995	46387842743.74123
RUSSIA	1994	46494907104.996315
RUSSIA	1993	46410178097.234955
RUSSIA	1992	46587077580.65637
SAUDI ARABIA	1998	27300893599.782562
SAUDI ARABIA	1997	46565951120.750916
SAUDI ARABIA	1996	46752979410.63179
SAUDI ARABIA	1995	46603255010.69338
SAUDI ARABIA	1994	46571132729.050446
SAUDI ARABIA	1993	46505578111.36975
SAUDI ARABIA	1992	46751943881.20119
UNITED KINGDOM	1998	27240248014.501587
UNITED KINGDOM	1997	46490900664.791245
UNITED KINGDOM	1996	46585367409.20272
UNITED KINGDOM	1995	46490318190.73175
UNITED KINGDOM	1994	46479123815.4617
UNITED KINGDOM	1993	46535439518.82126
UNITED KINGDOM	1992	46533693541.10078
UNITED STATES	1998	27218187172.831043
UNITED STATES	1997	46331330678.03953
UNITED STATES	1996	46513273049.86685
UNITED STATES	1995	46485278799.992226
UNITED STATES	1994	46473389674.8251
UNITED STATES	1993	46399996555.004654
UNITED STATES	1992	46513503262.86456
VIETNAM	1998	27321988858.80225
VIETNAM	1997	46611160320.69559
VIETNAM	1996	46754625946.19718
VIETNAM	1995	46635682880.10788
VIETNAM	1994	46551171869.76816
VIETNAM	1993	46485232130.36777
VIETNAM	1992	46753804757.72299
