nation	o_year	sum_profit
ALGERIA	1998	27364918537.431587
ALGERIA	1997	46540337202.475
ALGERIA	1996	46607966730.05952
ALGERIA	1995	46587657748.43636
ALGERIA	1994	46636127467.459
ALGERIA	1993	46605744722.159485
ALGERIA	1992	46704104396.133
ARGENTINA	1998	27248288078.066704
ARGENTINA	1997	46330173207.09534
ARGENTINA	1996	46524729535.84688
ARGENTINA	1995	46419391239.858154
ARGENTINA	1994	46324881303.378685
ARGENTINA	1993	46382957813.95188
ARGENTINA	1992	46520570588.71262
BRAZIL	1998	27318403655.995693
BRAZIL	1997	46699169500.54367
BRAZIL	1996	46782003730.23535
BRAZIL	1995	46725621897.61782
BRAZIL	1994	46659523588.299614
BRAZIL	1993	46607300224.37812
BRAZIL	1992	46830844301.79679
CANADA	1998	27395067164.1042
CANADA	1997	46746501630.17968
CANADA	1996	46903730678.56788
CANADA	1995	46734104459.058495
CANADA	1994	46728305660.67226
CANADA	1993	46693751203.041565
CANADA	1992	46870054364.50831
CHINA	1998	27281343171.886475
CHINA	1997	46645717678.99789
CHINA	1996	46714325932.27729
CHINA	1995	46568973333.44523
CHINA	1994	46544213517.11998
CHINA	1993	46591430143.1693
CHINA	1992	46729327704.67564
EGYPT	1998	27313350182.664063
EGYPT	1997	46659974631.3737
EGYPT	1996	46780446155.44885
EGYPT	1995	46644135006.976685
EGYPT	1994	46625310784.93589
EGYPT	1993	46674536509.5266
EGYPT	1992	46779717895.14592
ETHIOPIA	1998	27369072710.540077
ETHIOPIA	1997	46582310024.52928
ETHIOPIA	1996	46734487616.51846
ETHIOPIA	1995	46687739571.65317
ETHIOPIA	1994	46729134734.071236
ETHIOPIA	1993	46658206640.0698
ETHIOPIA	1992	46832302178.01972
FRANCE	1998	27265299195.18841
FRANCE	1997	46540714936.96192
FRANCE	1996	46704590909.05982
FRANCE	1995	46479948293.36784
FRANCE	1994	46578153083.07741
FRANCE	1993	46561781293.44031
FRANCE	1992	46615126208.07811
GERMANY	1998	27287914437.763744
GERMANY	1997	46467305831.02093
GERMANY	1996	46670921046.416466
