query,run,phase,status,ms,rows,start_utc
q01,0,cold,pass,9359,4,2026-09-03T13:03:03.038
q01,1,warm,pass,5190,4,2026-09-03T13:03:12.401
q01,2,warm,pass,4956,4,2026-09-03T13:03:17.594
q02,0,cold,pass,1707,100,2026-09-03T13:03:22.557
q02,1,warm,pass,1264,100,2026-09-03T13:03:24.267
q02,2,warm,pass,1227,100,2026-09-03T13:03:25.535
q03,0,cold,pass,4547,10,2026-09-03T13:03:26.768
q03,1,warm,pass,3031,10,2026-09-03T13:03:31.319
q03,2,warm,pass,3181,10,2026-09-03T13:03:34.353
q04,0,cold,pass,1930,5,2026-09-03T13:03:37.541
q04,1,warm,pass,1836,5,2026-09-03T13:03:39.475
q04,2,warm,pass,1864,5,2026-09-03T13:03:41.314
q05,0,cold,fail,101460,0,2026-09-03T13:03:43.185
q06,0,cold,pass,2453,1,2026-09-03T13:05:24.652
q06,1,warm,pass,1909,1,2026-09-03T13:05:27.110
q06,2,warm,pass,1924,1,2026-09-03T13:05:29.023
q07,0,cold,pass,3593,4,2026-09-03T13:05:30.953
q07,1,warm,pass,3510,4,2026-09-03T13:05:34.549
q07,2,warm,pass,3442,4,2026-09-03T13:05:38.063
q08,0,cold,fail,168285,0,2026-09-03T13:05:41.512
q09,0,cold,fail,232533,0,2026-09-03T13:08:29.804
q10,0,cold,pass,3913,20,2026-09-03T13:12:22.344
q10,1,warm,pass,3697,20,2026-09-03T13:12:26.261
q10,2,warm,pass,3721,20,2026-09-03T13:12:29.961
q11,0,cold,pass,1047,0,2026-09-03T13:12:33.690
q11,1,warm,pass,969,0,2026-09-03T13:12:34.741
q11,2,warm,pass,971,0,2026-09-03T13:12:35.714
q12,0,cold,pass,2393,2,2026-09-03T13:12:36.691
q12,1,warm,pass,2526,2,2026-09-03T13:12:39.087
q12,2,warm,pass,2510,2,2026-09-03T13:12:41.617
q13,0,cold,pass,2085,30,2026-09-03T13:12:44.133
q13,1,warm,pass,2254,30,2026-09-03T13:12:46.222
q13,2,warm,pass,2143,30,2026-09-03T13:12:48.479
q14,0,cold,pass,2538,1,2026-09-03T13:12:50.629
q14,1,warm,pass,2588,1,2026-09-03T13:12:53.171
q14,2,warm,pass,2574,1,2026-09-03T13:12:55.763
q15,0,cold,pass,4831,1,2026-09-03T13:12:58.343
q15,1,warm,pass,4701,0,2026-09-03T13:13:03.178
q15,2,warm,pass,4669,1,2026-09-03T13:13:07.883
q16,0,cold,fail,356,0,2026-09-03T13:13:12.558
q17,0,cold,fail,103894,0,2026-09-03T13:13:12.921
q18,0,cold,fail,54202,0,2026-09-03T13:14:56.823
q19,0,cold,pass,3188,1,2026-09-03T13:15:51.031
q19,1,warm,pass,3076,1,2026-09-03T13:15:54.223
q19,2,warm,pass,3087,1,2026-09-03T13:15:57.303
q20,0,cold,pass,4360,112013,2026-09-03T13:16:00.396
q20,1,warm,pass,4073,112013,2026-09-03T13:16:04.762
q20,2,warm,pass,4269,112013,2026-09-03T13:16:08.840
q21,0,cold,fail,114485,0,2026-09-03T13:16:13.117
q22,0,cold,pass,4110,7,2026-09-03T13:18:07.610
q22,1,warm,pass,971,7,2026-09-03T13:18:11.723
q22,2,warm,pass,915,7,2026-09-03T13:18:12.698
