s_name	s_address
Supplier#000000013	HK71HQyWoqRWOX8GI FpgAifW,2PoH
Supplier#000000226	83qOdU2EYRdPQAQhEtn GRZEd
Supplier#000000285	Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf
Supplier#000000378	FfbhyCxWvcPrO8ltp9
Supplier#000000532	ep92hT7VLaVlDKM7lgbj02kIL
Supplier#000000557	jj0wUYh9K3fG5Jhdhrkuy ,4
Supplier#000000640	mvvtlQKsTOsJj5Ihk7,cq
Supplier#000000688	D fw5ocppmZpYBBIPI718hCihLDZ5KhKX
Supplier#000000761	zlSLelQUj2XrvTTFnv7WAcYZGvvMTx882d4
Supplier#000000884	bmhEShejaS
Supplier#000000997	7eUWMrOCKCp2JYas6P4mL93eaWIOtKKWtTX
Supplier#000001033	A6x1P,56sVHkb4DqVyUw32n,ChI
Supplier#000001245	bztTCfHZnsLafgtZWe,isV Gr 4IFg
Supplier#000001426	bPOCc086oFm8sLtS,fGrH
Supplier#000001447	Y6nbeZmxx9J0j,1PLvpljga qvtV0e3ehThVjXMf
Supplier#000001730	Rc8e,1Pybn r6zo0VJIEiD0UD vhk
Supplier#000001873	Tdzlitffjp,Qv7bB3mWthF8
Supplier#000001958	bJAZFisYzqSFaspq2XQOVwrEpGgtTe9 1ccU9RJ
Supplier#000002020	jB6r1d7MxP6co
Supplier#000002022	 dwebGX7Id2pc25YvY33
Supplier#000002218	nODZw5q4dx kp0K5
Supplier#000002243	nSOEV3JeOU79
Supplier#000002282	ES21K9dxoW1I1TzWCj7ekdlNwSWnv1Z  6mQ,BKn
Supplier#000002303	nCoWfpB6YOymbgOht7ltfklpkHl
Supplier#000002460	wu8B2e YWGoKM fi e23UQn,YD79edUIIXX
Supplier#000002476	XmIgFZUxS9KpXDl
Supplier#000002481	nLKHUOn2Ml9TOA06Znq9GEMcIlMO2
Supplier#000002571	JZUugz04c iJFLrlGsz9O N,W 1rVHNIReyq
Supplier#000002585	CsPoKpw2QuTY4AV1NkWuttneIa4SN
Supplier#000002630	ZIQAvjNUY9KH5ive zm7k VlPiDl7CCo21
Supplier#000002669	GG1GW2tM6wvOW iIPblxxmXj2g
Supplier#000002719	4nnzQI2CbqREQUuIsXTBVUkaP4mNS3
Supplier#000002775	yDclaDaBD4ihH
Supplier#000002853	rTNAOItXka
Supplier#000002934	m,trBENywSArwg3DhB
Supplier#000002960	KCPCEsRGGo6vx8TygHh60nAYf9rStQT2T
Supplier#000003087	ANwe8QsZ4rgj1HSqVz991eWQ
Supplier#000003089	s5b VCIZqMSZVa r g7LTdcg29GbTE7rI1x
Supplier#000003109	2WfTvl8mtHqnyueg7Ki
Supplier#000003143	hdolgh608uTkHh7t6qfSqkifKaiFjnCH
Supplier#000003169	ODz6ABJGTs8Qnz
Supplier#000003288	EDdfNt7E5Uc,xLTupoIgYL4yY7ujh,
Supplier#000003304	wLN88ULs9Y
Supplier#000003313	El2I7we,049SPrvomUm4hZwJoOhZkvLxLJXgVH
Supplier#000003373	iy8VM48ynpc3N2OsBwAvhYakO2us9R1bi
Supplier#000003388	5jhre3tArrwL
