nation	o_year	sum_profit
ALGERIA	1998	27405531574.3185
ALGERIA	1997	46609048844.0605
ALGERIA	1996	46676842657.7595
ALGERIA	1995	46656622129.1869
ALGERIA	1994	46704930416.9944
ALGERIA	1993	46674639160.5888
ALGERIA	1992	46773126155.316
ARGENTINA	1998	27288593173.3666
ARGENTINA	1997	46398627156.2078
ARGENTINA	1996	46593575818.7695
ARGENTINA	1995	46487805785.4664
ARGENTINA	1994	46392937837.644
ARGENTINA	1993	46451620978.7149
ARGENTINA	1992	46589223376.0257
BRAZIL	1998	27358457317.8197
BRAZIL	1997	46768341787.6619
BRAZIL	1996	46851026475.1887
BRAZIL	1995	46794409310.4085
BRAZIL	1994	46728151829.3697
BRAZIL	1993	46675924815.9713
BRAZIL	1992	46900144150.5607
CANADA	1998	27435210188.1134
CANADA	1997	46815531525.8004
CANADA	1996	46973274295.6384
CANADA	1995	46803272497.5311
CANADA	1994	46797583450.1064
CANADA	1993	46763055533.1719
CANADA	1992	46939628731.1251
CHINA	1998	27321274819.7795
CHINA	1997	46714701437.1243
CHINA	1996	46783606248.4209
CHINA	1995	46637734005.9402
CHINA	1994	46613089922.2234
CHINA	1993	46660181607.7447
CHINA	1992	46798309696.5452
EGYPT	1998	27353793426.71
EGYPT	1997	46728818437.4894
EGYPT	1996	46849395383.0239
EGYPT	1995	46712692519.9059
EGYPT	1994	46693974317.5978
EGYPT	1993	46743522851.5491
EGYPT	1992	46848985776.4272
ETHIOPIA	1998	27409545504.9785
ETHIOPIA	1997	46651304533.4872
ETHIOPIA	1996	46803398172.3674
ETHIOPIA	1995	46756800502.1883
ETHIOPIA	1994	46797937144.0508
ETHIOPIA	1993	46727257901.659
ETHIOPIA	1992	46901681368.6363
FRANCE	1998	27305483247.1375
FRANCE	1997	46609513469.0014
FRANCE	1996	46773985014.8924
FRANCE	1995	46548693331.504
FRANCE	1994	46647239831.3152
FRANCE	1993	46630853279.5657
FRANCE	1992	46683887837.6756
GERMANY	1998	27328167925.8595
GERMANY	1997	46536021101.1398
GERMANY	1996	46739756271.0652
GERMANY	1995	46521251734.9535
GERMANY	1994	46535021533.5393
GERMANY	1993	46539393049.0152
GERMANY	1992	46660561118.1869
INDIA	1998	27348257753.6332
INDIA	1997	46661743005.8563
INDIA	1996	46753194262.4213
INDIA	1995	46611290838.8093
INDIA	1994	46550010107.6436
INDIA	1993	46598267808.7208
INDIA	1992	46737932582.5994
INDONESIA	1998	27447058585.0738
INDONESIA	1997	46764671363.7593
INDONESIA	1996	46863764382.2954
INDONESIA	1995	46708572794.8448
INDONESIA	1994	46777770144.4526
INDONESIA	1993	46706703890.5365
INDONESIA	1992	46889978887.1585
IRAN	1998	27331058252.7287
IRAN	1997	46468688085.7699
IRAN	1996	46634752736.3995
IRAN	1995	46519759423.5639
IRAN	1994	46639791023.0025
IRAN	1993	46556503960.7385
IRAN	1992	46655026068.0737
IRAQ	1998	27306284739.95
IRAQ	1997	46628917074.781
IRAQ	1996	46622538855.8137
IRAQ	1995	46484091480.4776
IRAQ	1994	46520053936.5608
IRAQ	1993	46549342523.37
IRAQ	1992	46718304497.9381
JAPAN	1998	27386861755.8346
JAPAN	1997	46590128020.4004
JAPAN	1996	46737017225.795
JAPAN	1995	46642175874.7795
JAPAN	1994	46650655426.5857
JAPAN	1993	46606581468.1586
JAPAN	1992	46738566512.639
JORDAN	1998	27244948821.3752
JORDAN	1997	46550635289.2766
JORDAN	1996	46674538675.7456
JORDAN	1995	46603806984.4319
JORDAN	1994	46586751608.6345
JORDAN	1993	46497399541.8264
JORDAN	1992	46701668568.5343
KENYA	1998	27335894793.4282
KENYA	1997	46564090528.6958
KENYA	1996	46654812463.2631
KENYA	1995	46556289623.5069
KENYA	1994	46510427195.2622
KENYA	1993	46494542094.5694
KENYA	1992	46677235321.3689
MOROCCO	1998	27336439123.0718
MOROCCO	1997	46580329507.3642
MOROCCO	1996	46668421947.7661
MOROCCO	1995	46568771936.6794
MOROCCO	1994	46547694889.1966
MOROCCO	1993	46629278996.3449
MOROCCO	1992	46776743240.4774
MOZAMBIQUE	1998	27354937494.8384
MOZAMBIQUE	1997	46687118435.5743
MOZAMBIQUE	1996	46863156173.2306
MOZAMBIQUE	1995	46679964574.1297
MOZAMBIQUE	1994	46705516163.8467
MOZAMBIQUE	1993	46620878611.8701
MOZAMBIQUE	1992	46822984444.7877
PERU	1998	27417517276.0504
PERU	1997	46694622002.0745
PERU	1996	46832409766.297
PERU	1995	46805123121.8442
PERU	1994	46795514827.4573
PERU	1993	46754979090.7745
PERU	1992	46821938049.8843
ROMANIA	1998	27316025774.779
ROMANIA	1997	46694022621.5356
ROMANIA	1996	46888110151.1254
ROMANIA	1995	46656595382.243
ROMANIA	1994	46762273097.5993
ROMANIA	1993	46715830049.5688
ROMANIA	1992	46899696373.1557
RUSSIA	1998	27302598147.8145
RUSSIA	1997	46527436298.7378
RUSSIA	1996	46636636873.2601
RUSSIA	1995	46456468950.3698
RUSSIA	1994	46563287908.3209
RUSSIA	1993	46478609748.5101
RUSSIA	1992	46655973982.3069
SAUDI ARABIA	1998	27341526915.6239
SAUDI ARABIA	1997	46634925781.7672
SAUDI ARABIA	1996	46822083805.3117
SAUDI ARABIA	1995	46672292988.8422
SAUDI ARABIA	1994	46640128200.6699
SAUDI ARABIA	1993	46574115903.0289
SAUDI ARABIA	1992	46821164785.432
UNITED KINGDOM	1998	27280468797.8678
UNITED KINGDOM	1997	46559629242.9047
UNITED KINGDOM	1996	46654345376.424
UNITED KINGDOM	1995	46559019353.1765
UNITED KINGDOM	1994	46548139133.7069
UNITED KINGDOM	1993	46604494052.4022
UNITED KINGDOM	1992	46602661160.9802
UNITED STATES	1998	27258565739.9858
UNITED STATES	1997	46399676664.5435
UNITED STATES	1996	46581964924.4075
UNITED STATES	1995	46553771151.0598
UNITED STATES	1994	46541929761.3726
UNITED STATES	1993	46468449879.6804
UNITED STATES	1992	46582265224.3436
VIETNAM	1998	27362203527.6927
VIETNAM	1997	46679857306.5691
VIETNAM	1996	46823543995.6468
VIETNAM	1995	46704278731.8401
VIETNAM	1994	46619569594.5955
VIETNAM	1993	46553281815.9755
VIETNAM	1992	46822913151.3017
