s_name	numwait
Supplier#007614620	41
Supplier#005342835	40
Supplier#003781781	39
Supplier#005346939	39
Supplier#008145944	39
Supplier#007484282	38
Supplier#009888832	38
Supplier#003041432	37
Supplier#003645950	37
Supplier#006183663	37
Supplier#009807417	37
Supplier#000607320	36
Supplier#000638692	36
Supplier#000823541	36
Supplier#001919367	36
Supplier#003520420	36
Supplier#004686156	36
Supplier#006097055	36
Supplier#007723495	36
Supplier#009815006	36
Supplier#000024808	35
Supplier#000510774	35
Supplier#000991739	35
Supplier#001639847	35
Supplier#001929151	35
Supplier#003407637	35
Supplier#003574413	35
Supplier#003838525	35
Supplier#003928916	35
Supplier#004532021	35
Supplier#004810247	35
Supplier#005294022	35
Supplier#005300684	35
Supplier#005481472	35
Supplier#005596283	35
Supplier#006585186	35
Supplier#006978223	35
Supplier#007085757	35
Supplier#007223809	35
Supplier#008475046	35
Supplier#008949434	35
Supplier#009669566	35
Supplier#009858041	35
Supplier#000394366	34
Supplier#001447349	34
Supplier#001911454	34
Supplier#002437004	34
Supplier#003056234	34
Supplier#003441597	34
Supplier#003638233	34
Supplier#003672577	34
Supplier#003675114	34
Supplier#003722881	34
Supplier#003949300	34
Supplier#004026611	34
Supplier#004166529	34
Supplier#005227080	34
Supplier#005716095	34
Supplier#005722992	34
Supplier#005823992	34
Supplier#006213476	34
Supplier#006277202	34
Supplier#006646303	34
Supplier#006689124	34
Supplier#007098838	34
Supplier#007178925	34
Supplier#007262834	34
Supplier#007460653	34
Supplier#007475126	34
Supplier#007895588	34
Supplier#008204366	34
Supplier#008530256	34
Supplier#009075874	34
Supplier#009281829	34
Supplier#009359511	34
Supplier#000218472	33
Supplier#000433664	33
Supplier#000571203	33
Supplier#000984607	33
Supplier#000986559	33
Supplier#001195170	33
Supplier#001235702	33
Supplier#002181352	33
Supplier#002192170	33
Supplier#002302962	33
Supplier#002586219	33
Supplier#002601717	33
Supplier#002629993	33
Supplier#002755160	33
Supplier#003186667	33
Supplier#003241574	33
Supplier#003660628	33
Supplier#003754244	33
Supplier#003943031	33
Supplier#003995504	33
Supplier#004232967	33
Supplier#004659977	33
Supplier#004764184	33
Supplier#005068555	33
Supplier#005761641	33
